domain,avg_score,sentence
news,-0.6,Tang was employed at private-equity firm Friedman Fleischer & Lowe.
news,1.0,"San Francisco Mayor Gavin Newsom's withdrawal from the governor's race followed a meeting with top advisers where he was told that, unless he raised $5 million quickly and appeared to be viable, some of the state's biggest unions would throw their support behind Attorney General Jerry Brown."
answers,-2.8,lol nothing worrying about that.
news,0.0,"She told Price she wanted to join the Police Explorers, a Boy Scouts group that lets boys and girls learn law enforcement with local police."
news,1.8,"The prime minister is keen to use the autumn pre-budget statement to announce a new ""fiscal stimulus"", with billions of pounds of extra money for housing, infrastructure projects and training."
blog,1.0,"Those competencies include mastering fundamental legal skills, support of the firm's culture, demonstration of leadership and business skills, and understanding and effectively managing client needs."
news,0.8,His platform contains plans to fund drainage projects.
answers,-1.8,"""It's a start."""
news,0.6,"""She is not asking for anything over the top, just to be able to find her daughter and let her know she loves her."""
news,0.8,Justice Dinakaran had maintained that he had not acquired an inch of land since his appointment as a judge of HC and even called the collector's report motivated.
news,0.8,"Kirk has given few speeches, limited his press releases to a few nuts-and-bolts issues, and shunned almost all requests for interviews."
news,0.0,"""You never know. Miracles happen,"" she said."
news,0.8,"Some evidence indicates they have spent at least some of the past 14 years in Mexico, a country that has shown itself as a haven for hiding American kids."
news,0.4,Martina Metzler peers at the piles of paper strips spread across four desks in her office.
news,1.4,"The shares, which traded at more than $61 each in February 2007, have declined 84 percent this year."
answers,-2.75,constently... I work at a Radio Station.
answers,-1.2,he's being too overprotetive and annoying.
email,2.2,The $30 million lost in Governor Bush's budget request 02-03 was slated for consumers on the wait list.
email,0.0,"Don't sell your role short---teachers like you matter in a world where today's Cecilia story goes like this: ""Mom, Miss Summas upped and decided she'd add 10 points to everybody's test grade since most of the class did so poorly on it."
answers,0.6,The Sony Cybershots are my favorite.
blog,-1.0,I know I'm gonna end up (going to court).
answers,1.0,HISTORY OF STYLES Ancient World.
email,0.6,"Its allmost like there is more at stake here than what we can see in the natural, and more of a spiritual conatation."
blog,0.6,"""Our combat related trophies are in there to help people learn advanced tactics. People might not know about Steel Fist [finishing off a foe with one punch] or shield takedowns until they go in and read the trophy list."""
email,1.2,I have tried everything possible to attract business.
answers,-1.2,Never heard that one before.
blog,-2.0,"""Yup."""
answers,-2.0,well it depends on that girl.
answers,0.4,What do you think you should do?
news,0.4,This in a district in which Democrats have an 18-point advantage over Republicans in registered voters.
email,-1.25,The little girl is doing so well!
answers,-0.8,Order an electronic pizza by e - mail.
answers,1.2,That's how we pass our traits to the next generation: through DNA
news,1.2,"""Rates are very low and it wants to get up to a more normal level as quickly as possible. It's better to announce a big hike now than wait until rates are higher and then jack rates up."""
answers,0.0,Maybe it will be of some help!
news,0.4,"""Nato operations have destroyed a lot of equipment belonging to poor fishermen... they illegally transfer the fishermen to their own prisons and prisons of other [foreign] countries."""
answers,1.8,Wedding rituals differ in different regions and communities in India.
news,0.4,"Talks were going nowhere last week, prompting Clinton to get on the phone to both Micheletti and Zelaya to insist in what was described as blunt language that they close the gap preventing an agreement."
blog,-0.8,"Help us, Olympia Snowe, you're our only hope!"
news,-0.8,It came off like a generational anthem:
news,1.0,The Maoists also killed 31 police officers from other nearby outposts in attacks in February and May.
news,0.2,"""There is no more bitter song than the nonrecognition of elections,"" she said, ""and that was enough to really worry us."""
blog,-1.4,"Related searches for [taco dog costume], [dog shark costume] and [banana costume] (so cute!) all rank high."
news,2.0,"With police officers dying in large numbers and Maoists carrying out bolder attacks, the debate around the insurgency has sharpened in India's intellectual salons and on the opinion pages and talk shows."
answers,0.4,"Nope, you have to fix your excessive moisture problem."
news,0.6,"""Oiled birds need to get onshore because they lose their insulation."""
answers,-0.2,"Best advice is to ""never dip your Quill in the company ink."""
news,1.8,"Evan Harris, another Liberal Democrat member of the science and technology select committee, said: ""The political sacking of a distinguished scientist, who is the chair of an independent scientific advisory committee, for the 'crime' of having different views than the secretary of state, is an enormous blow to the credibility of the government's approach to scientific evidence."""
